学号,姓名,作品名称,作品链接,作业次数,课程名称,提交时间
202401001,李明,个人主页设计,,1,新媒体交互设计,2026/9/20
202401002,王佳,班级活动展示网站,,2,新媒体交互设计,2026/9/20
202401003,张伟,个人简历网页,,1,新媒体交互设计,2026/9/20
202401004,刘畅,校园风景摄影集网站,,3,新媒体交互设计,2026/9/20
202401005,陈雨,在线图书借阅系统原型,,2,新媒体交互设计,2026/9/20
202401006,赵阳,动漫主题个人主页,,1,新媒体交互设计,2026/9/20
202401007,黄晓,班级成绩查询网页,,3,新媒体交互设计,2026/9/20
202401008,周杰,宠物展示网站,,2,新媒体交互设计,2026/9/20
202401009,吴桐,旅行游记分享网页,,1,新媒体交互设计,2026/9/20
202401010,郑雪,课程作业提交系统演示页,,3,新媒体交互设计,2026/9/20
20161060001,张书宁,视频作业,https://featon0526.github.io/,4,新媒体交互设计,2026/9/20
20161060002,张书宁,视频作业,https://github.com/featon0526/picgo-bed/releases/tag/v1.0.0/course_intro.mp4,5,新媒体交互设计,2026/9/20
